Gene_symbol_ENTREZ_ID	Effect_size	p_value	q_value
HSP90AB1 (3326)	0.083720125	0.100766374	0.159519678
FXYD7 (53822)	0.08374707	0.17031548	0.249530696
GALM (130589)	0.083791302	0.530533354	0.626675543
MARCO (8685)	0.083800849	0.106885828	0.167736887
STKLD1 (169436)	0.083859807	0.081680307	0.133466011
XRN2 (22803)	0.083923104	0.10911826	0.170792247
EBAG9 (9166)	0.083925431	0.124485102	0.19089577
CABP7 (164633)	0.083967699	0.14005889	0.211224783
TMED1 (11018)	0.084010438	0.118272263	0.183021544
OR4C6 (219432)	0.084092103	0.018052034	0.03618345
ZFAND1 (79752)	0.084144139	0.226200899	0.316896452
ARX (170302)	0.084171391	0.12336671	0.189366984
CDH15 (1013)	0.084229808	0.162737332	0.240237018
TIGD5 (84948)	0.084237535	0.076138253	0.125673879
MAP3K5 (4217)	0.084442869	0.364273734	0.465282651
PGAM2 (5224)	0.084556184	0.182484445	0.264477419
VBP1 (7411)	0.084557642	0.118279489	0.183021544
SPRR2F (6705)	0.084565664	0.012135422	0.025546109
FASTK (10922)	0.084731816	0.08189838	0.13373103
GABRR1 (2569)	0.084895353	0.028999461	0.054526293
CRABP1 (1381)	0.085000773	0.584216691	0.674277708
MOGAT3 (346606)	0.085077661	0.132307896	0.201263597
CLEC18A (348174)	0.085117403	0.038010141	0.068979632
SLC12A9 (56996)	0.085123267	0.181315982	0.263062764
C11orf98 (102288414)	0.085231297	0.081277342	0.132852923
ZSCAN1 (284312)	0.085270182	0.076006475	0.125480161
TGFB3 (7043)	0.085274014	0.436843439	0.537359815
MOGS (7841)	0.085282758	0.053989321	0.093527424
HMSD (284293)	0.085328658	0.515133869	0.612605466
ATP10B (23120)	0.085361528	0.350848034	0.451629557
ELOVL3 (83401)	0.085422916	0.212690654	0.300897862
ADAMTS18 (170692)	0.085464077	0.073112373	0.121435299
HNF1B (6928)	0.085473979	0.564204401	0.656963023
CHODL (140578)	0.085527485	0.218704623	0.308062785
AURKAIP1 (54998)	0.085535155	0.067859132	0.113985717
PDXDC1 (23042)	0.085675132	0.137098237	0.207544571
SSUH2 (51066)	0.085689762	0.046285341	0.081825336
ADCY8 (114)	0.085713638	0.076310737	0.125895618
C20orf141 (128653)	0.085890525	0.000264132	0.000837315
CSGALNACT1 (55790)	0.085891095	0.549750164	0.64401035
MYPN (84665)	0.086041281	0.357124792	0.457923444
DHRS7B (25979)	0.086111997	0.165001381	0.243133192
ENO1 (2023)	0.086138252	0.177215921	0.258170732
RTN4RL2 (349667)	0.086145776	0.439814975	0.539870344
RIIAD1 (284485)	0.086154549	0.157953325	0.234062889
CFD (1675)	0.086188554	0.56234762	0.655199491
SLCO6A1 (133482)	0.08629667	6.10E-06	2.75E-05
CDYL (9425)	0.086331672	0.096771161	0.15410972
MAP1LC3C (440738)	0.086367534	0.124565721	0.1909888
HKR1 (284459)	0.086544532	0.280636982	0.377893676
HIST1H4J (8363)	0.086545518	0.367891961	0.468844329
ANKRD61 (100310846)	0.086550402	0.014543004	0.029901328
SPINK8 (646424)	0.086582473	0.004790046	0.011221323
SRARP (149563)	0.086676998	0.025933872	0.049519054
ANKRD20A2 (441430)	0.086860833	0.062645063	0.106422672
RASGEF1C (255426)	0.086862135	0.040071687	0.072207491
POLD2 (5425)	0.086965945	0.108591322	0.170064812
PFKFB4 (5210)	0.086968168	0.446781304	0.546913568
PASD1 (139135)	0.087012309	0.326100748	0.426658879
KIF18A (81930)	0.087039547	0.173177792	0.253212835
TMED5 (50999)	0.087070251	0.122427797	0.18819317
SDHC (6391)	0.087079347	0.084274633	0.136938299
EPHA7 (2045)	0.087089435	0.426507363	0.527151976
XKR7 (343702)	0.087101959	0.284769138	0.382274762
USP42 (84132)	0.08721388	0.071567599	0.119252339
NFASC (23114)	0.087217724	0.584501157	0.674443382
TRPC4AP (26133)	0.087250212	0.056762818	0.097685771
SLC5A11 (115584)	0.087270032	0.005109307	0.011853195
HBP1 (26959)	0.087330098	0.157323438	0.23330767
RTN4RL1 (146760)	0.087346199	0.337831553	0.438693331
SCTR (6344)	0.087349021	0.004914519	0.011469409
ETV5 (2119)	0.08739774	0.502762338	0.600354429
OIP5 (11339)	0.087447298	0.197971939	0.283341418
C1QL2 (165257)	0.087464992	0.00129795	0.003506133
NUDT15 (55270)	0.087466964	0.160362157	0.237283439
CEBPZ (10153)	0.08749828	0.07548889	0.124754774
HSPB3 (8988)	0.087588949	0.329567599	0.43028317
DRD1 (1812)	0.087641278	0.018677082	0.037272393
MPPED2 (744)	0.087670895	0.358889884	0.45966334
KCNK7 (10089)	0.087690442	0.022095904	0.043102097
ARPC1B (10095)	0.087822513	0.367722549	0.468780747
ZNF676 (163223)	0.087840394	0.076251511	0.125830439
THAP12 (5612)	0.087869896	0.153495525	0.228429596
ANKH (56172)	0.088008307	0.524465111	0.620963577
TRIM3 (10612)	0.088024524	0.315081954	0.415107627
FILIP1 (27145)	0.088030354	0.143006499	0.214942013
EPHA8 (2046)	0.088047022	0.083975095	0.136551365
LYPD8 (646627)	0.088080789	0.090660829	0.145825148
AMZ1 (155185)	0.088090931	0.177296389	0.258248655
B3GLCT (145173)	0.08811149	0.228398734	0.319507883
IRF2BP2 (359948)	0.088154001	0.27921532	0.376349933
TREM1 (54210)	0.088186295	0.154678255	0.230028782
PYGO1 (26108)	0.088329308	0.356142669	0.457165541
IL34 (146433)	0.088463188	0.089041453	0.143497734
CLEC3A (10143)	0.088476239	0.065307365	0.110338381
GPX4 (2879)	0.088479301	0.105622362	0.165999056
LCE3E (353145)	0.08847974	0.019422478	0.038558947
TMEM33 (55161)	0.088494151	0.106879391	0.167736887
GYG1 (2992)	0.088499753	0.237439374	0.32998471
SELENOT (51714)	0.088507859	0.102115704	0.161335565
TRIM62 (55223)	0.088532695	0.157211082	0.233197656
BIRC5 (332)	0.088583553	0.19069197	0.2746676
KCTD8 (386617)	0.088632846	0.016859837	0.03403973
VGLL2 (245806)	0.088642518	0.119075785	0.183921836
CCDC190 (339512)	0.088646379	0.239417609	0.33215528
RNF208 (727800)	0.088687973	0.364111181	0.465106056
SPPL2A (84888)	0.088703021	0.206084101	0.293040782
PIGC (5279)	0.088760121	0.085623205	0.138830408
BTG4 (54766)	0.088810481	0.011994204	0.025271522
ACOT6 (641372)	0.088823136	3.54E-05	0.000135949
DERL2 (51009)	0.088834747	0.096414415	0.153608319
SLC44A2 (57153)	0.088928001	0.514719599	0.612318218
SCARA5 (286133)	0.088934077	0.239699516	0.332450014
C2orf16 (84226)	0.088993375	0.004348218	0.010323984
ATMIN (23300)	0.089055449	0.091820623	0.147374081
HECTD2 (143279)	0.089127807	0.288879387	0.387016633
ZNF131 (7690)	0.08917597	0.062149824	0.105693899
FTL (2512)	0.089273702	0.446058203	0.546098244
VPS13D (55187)	0.089324193	0.099273685	0.157534435
ARFRP1 (10139)	0.089341495	0.08456494	0.137335529
HAVCR1 (26762)	0.089372201	0.541652044	0.636579443
SCYL1 (57410)	0.089508177	0.041811069	0.074939716
OTOP3 (347741)	0.08953173	0.006101426	0.013887255
RNF26 (79102)	0.089539037	0.129131559	0.197011043
COG4 (25839)	0.089681806	0.064841306	0.109647731
CCZ1B (221960)	0.089702347	0.096909403	0.154307045
MRPL32 (64983)	0.089741801	0.047718721	0.084048873
SLC28A1 (9154)	0.089764809	0.000969099	0.00269775
IRX5 (10265)	0.089831554	0.347908567	0.448720718
INPPL1 (3636)	0.089879123	0.192058142	0.27635744
CCT4 (10575)	0.089889527	0.043346445	0.077322431
SNAP47 (116841)	0.089894922	0.058647406	0.100523407
TRIM37 (4591)	0.089914848	0.135601663	0.205620455
SPINK6 (404203)	0.089939605	0.313145838	0.413267884
MRPL15 (29088)	0.089953182	0.082372226	0.134332899
DGCR6L (85359)	0.089956894	0.166555751	0.245102874
PIEZO2 (63895)	0.089982174	0.504464215	0.601973629
FBXO6 (26270)	0.089991456	0.384430457	0.485585686
GALNT4 (8693)	0.090043992	0.286927954	0.384795009
BPIFB2 (80341)	0.090083269	0.019806762	0.039220176
WNT2B (7482)	0.09012654	0.180832379	0.262440685
CHORDC1 (26973)	0.090328557	0.178107621	0.259197026
ESF1 (51575)	0.090337324	0.094326656	0.150746264
ATP6V0C (527)	0.090354434	0.083939999	0.13650589
RBPMS2 (348093)	0.0903884	0.472373686	0.571734326
EEF1AKMT3 (25895)	0.090475061	0.120326383	0.185618716
NAA35 (60560)	0.090551893	0.047188092	0.083190794
SEC23A (10484)	0.090574353	0.311536699	0.411569841
MED27 (9442)	0.090579229	0.067927639	0.114070764
CXCL11 (6373)	0.090599803	0.106879572	0.167736887
TMX1 (81542)	0.090749151	0.080866139	0.132338979
BTBD17 (388419)	0.09075849	0.10408186	0.163954836
ACAD9 (28976)	0.09090348	0.041214751	0.074009492
G2E3 (55632)	0.090922625	0.14384001	0.215940491
TAF13 (6884)	0.091005733	0.273036259	0.369660972
BTNL8 (79908)	0.091010108	0.088061961	0.142110611
SMYD5 (10322)	0.091055426	0.04360513	0.077697005
APOB (338)	0.091173726	0.065827933	0.11105477
ALPL (249)	0.091186902	0.442286528	0.542278294
SOAT1 (6646)	0.091264367	0.316602321	0.416766474
DDAH2 (23564)	0.091308682	0.407002431	0.507765039
FAM184B (27146)	0.091393635	0.000576787	0.001688121
SLITRK2 (84631)	0.091408928	0.020836182	0.04102243
DYRK1B (9149)	0.091418068	0.335975996	0.436829653
PRKD1 (5587)	0.091434439	0.487613899	0.586730388
NF2 (4771)	0.091444981	0.253315789	0.347901935
FAM86C1 (55199)	0.091476897	0.10847571	0.169911553
GSDME (1687)	0.091547702	0.605842858	0.693924595
MFSD5 (84975)	0.091560632	0.063086577	0.107058721
FAM161A (84140)	0.091563127	0.222783313	0.313001889
SERTM1 (400120)	0.091606419	0.065282705	0.110306453
CACNA1B (774)	0.091633823	0.192933639	0.277353878
WNT10B (7480)	0.091704297	0.288390201	0.386471025
PYCR1 (5831)	0.091830792	0.418891909	0.519719164
AOX1 (316)	0.091858927	0.557302275	0.650746859
C8orf76 (84933)	0.091883037	0.061405575	0.104571811
ETV2 (2116)	0.091960563	0.030784118	0.057445283
TOR4A (54863)	0.091991437	0.513156374	0.61078498
H3F3B (3021)	0.092160777	0.073387	0.121775222
VEZF1 (7716)	0.092183525	0.104174001	0.164045988
IGDCC3 (9543)	0.092196839	0.096575385	0.153839172
COX19 (90639)	0.092207257	0.074793485	0.123690954
COX6B1 (1340)	0.092279312	0.052370326	0.091093723
SRRM5 (100170229)	0.092285629	0.01288135	0.026915582
CYHR1 (50626)	0.092348779	0.076268283	0.125847268
TRPM6 (140803)	0.092415612	0.016311234	0.03306812
RFC5 (5985)	0.092542229	0.174647997	0.254958298
NME3 (4832)	0.092575557	0.334584854	0.435230851
GPR160 (26996)	0.092603218	0.521565076	0.618371327
VPS37D (155382)	0.092616055	0.211031156	0.298925671
PLAGL2 (5326)	0.092622477	0.145452624	0.218070721
ARHGEF25 (115557)	0.092671668	0.525357114	0.621673667
FAM234B (57613)	0.092770507	0.224417035	0.314832407
ATP2B1 (490)	0.092944165	0.273850306	0.370302994
NRTN (4902)	0.09304428	0.223022746	0.31313146
FSTL5 (56884)	0.093119475	0.351218373	0.451956758
SPRR4 (163778)	0.093160186	0.002435653	0.006157951
GHR (2690)	0.09323389	0.239617824	0.33236079
TM4SF20 (79853)	0.093264514	0.12166182	0.187286417
CILP (8483)	0.093281631	0.07323429	0.121586661
CRHR1 (1394)	0.093330368	0.028374369	0.053532957
ATOH8 (84913)	0.093449821	0.568828274	0.660739548
EFHC2 (80258)	0.093484645	0.064058602	0.108515873
SCAND1 (51282)	0.093599535	0.067179626	0.113032761
IGSF5 (150084)	0.093618712	8.56E-05	0.000303704
ECI1 (1632)	0.093673602	0.182754138	0.26482819
COPA (1314)	0.09367529	0.061862619	0.10525222
PRPSAP1 (5635)	0.093752233	0.047360486	0.083463973
LRRC8B (23507)	0.093785009	0.272308667	0.368936809
TMEM167A (153339)	0.093833442	0.113182935	0.176131857
INPP5A (3632)	0.093889484	0.181084253	0.262766387
ALS2 (57679)	0.093937209	0.155601468	0.231186224
ZNF208 (7757)	0.093953286	0.21404971	0.302552248
CPA5 (93979)	0.094001134	0.100635219	0.159351582
GUCY2D (3000)	0.094001999	0.001180772	0.003219584
S100A1 (6271)	0.094003637	0.625392686	0.711083778
GPR20 (2843)	0.094048811	0.006190463	0.014061488
CLCNKB (1188)	0.094053343	0.006085411	0.01385245
RBP2 (5948)	0.094069034	0.192733486	0.277107763
PSME4 (23198)	0.094114018	0.039310663	0.071022017
PSMC3 (5702)	0.094236565	0.072633262	0.120760085
IYD (389434)	0.094360966	0.096291667	0.153440992
SLC9A1 (6548)	0.094364824	0.16515775	0.243344875
TP53BP2 (7159)	0.094374854	0.169233344	0.248279802
CFAP74 (85452)	0.094481783	0.001615447	0.004261545
CCDC96 (257236)	0.094491131	0.038712114	0.070074197
TTYH2 (94015)	0.094522586	0.411664537	0.512279374
ITPA (3704)	0.09455541	0.051272058	0.089443437
NDST4 (64579)	0.094572893	0.090014232	0.144894683
RBAK (57786)	0.094595329	0.054480054	0.094224063
TAAR1 (134864)	0.094655704	0.013679001	0.028356339
SLC35D3 (340146)	0.094670557	0.171907936	0.251529007
MRPL41 (64975)	0.094678946	0.178454207	0.259658535
CSNK1A1 (1452)	0.094718443	0.037006351	0.067426438
CADM2 (253559)	0.094755326	0.294547076	0.393266021
FAM171B (165215)	0.094786467	0.392269407	0.492982704
DUOXA2 (405753)	0.094818974	9.95E-05	0.00034812
NFKBIB (4793)	0.094823167	0.083872319	0.136430596
MAVS (57506)	0.094830734	0.072230053	0.120157468
ASCL5 (647219)	0.094922733	0.026395163	0.05030453
DMRT3 (58524)	0.09496302	0.005023553	0.011686826
ROM1 (6094)	0.094996091	0.155846676	0.231496645
GUCA2A (2980)	0.095031813	0.020962197	0.041209725
SOX18 (54345)	0.095050477	0.168051477	0.246943312
SDF4 (51150)	0.095073851	0.133647668	0.20296295
MOB4 (25843)	0.095104631	0.037935503	0.068876828
GLB1 (2720)	0.095243268	0.158684073	0.235072962
SOX6 (55553)	0.095253428	0.34986016	0.450683192
PRSS12 (8492)	0.095255486	0.55423432	0.648271634
ATPAF1 (64756)	0.095304609	0.107177833	0.168126223
DMPK (1760)	0.09533875	0.376003301	0.477049984
CISD3 (284106)	0.095375145	0.136710661	0.207072466
TTC36 (143941)	0.095414258	0.004184832	0.009980618
DNAJC1 (64215)	0.095478428	0.229903349	0.321424795
EGFL6 (25975)	0.095544883	0.008265133	0.018178734
TMEM199 (147007)	0.095669392	0.054191522	0.09379283
GAD2 (2572)	0.095724606	0.062727682	0.106534665
GLTP (51228)	0.095776464	0.13304963	0.202263331
CCL15 (6359)	0.095802075	0.21696422	0.306039127
ARHGAP35 (2909)	0.095813804	0.130746102	0.199172705
KLK9 (284366)	0.095897581	1.69E-05	6.93E-05
PGR (5241)	0.095909788	0.017699918	0.035570778
EN1 (2019)	0.095949312	0.3159825	0.416101237
SLC37A4 (2542)	0.095964384	0.198879183	0.284342276
SLC17A5 (26503)	0.096031624	0.239273224	0.332027153
DCAF13 (25879)	0.096063662	0.070023494	0.117056989
CYP11A1 (1583)	0.09632998	0.103588523	0.163365902
CASQ2 (845)	0.09633604	1.90E-05	7.72E-05
COL4A3 (1285)	0.096435361	0.272516628	0.36916412
ALOX15B (247)	0.09649298	0.061587563	0.104849471
QSER1 (79832)	0.096534043	0.121023593	0.186449777
GLB1L (79411)	0.096571839	0.171566454	0.251106131
ARL13B (200894)	0.096573394	0.146371596	0.219345427
SFTPA1 (653509)	0.096585045	0.066519609	0.112020706
RNF139 (11236)	0.096585185	0.053109947	0.092246127
SOX17 (64321)	0.096757557	0.410862023	0.511546733
KHDRBS2 (202559)	0.09675946	0.039330542	0.071045848
CREB5 (9586)	0.096763797	0.441842083	0.541906902
AMY1C (278)	0.096829632	0.021161244	0.041557544
NPPC (4880)	0.096830796	0.178980758	0.260187382
MYRFL (196446)	0.096899223	0.080468272	0.131811808
TST (7263)	0.096946555	0.363405176	0.46442114
ZNF396 (252884)	0.096967743	0.036949662	0.067355201
CEP131 (22994)	0.096991628	0.115451245	0.179195608
FAM19A4 (151647)	0.096993984	0.00647026	0.014622435
SDF2L1 (23753)	0.097062964	0.21132379	0.299207355
XIAP (331)	0.097114812	0.05638508	0.097097776
TULP3 (7289)	0.097172665	0.161289206	0.238489268
SLC22A17 (51310)	0.097187892	0.523271125	0.61974155
FAM83C (128876)	0.097268217	0.01482739	0.030397897
ZSCAN18 (65982)	0.097298845	0.615043807	0.701859719
RBM4 (5936)	0.097435077	0.02753856	0.052187508
SMIM29 (221491)	0.097444609	0.202151595	0.288374823
REM2 (161253)	0.097455204	0.020810206	0.040987962
MMD (23531)	0.097473188	0.296208645	0.395082442
PCMTD2 (55251)	0.097533091	0.169228724	0.248279802
MTIF2 (4528)	0.097552405	0.026869495	0.051122005
ARHGEF33 (100271715)	0.09755442	0.006116087	0.0139107
UQCC1 (55245)	0.097566298	0.080918064	0.132401318
GPR78 (27201)	0.097641089	0.06121501	0.104317264
NUMA1 (4926)	0.097682802	0.112332067	0.175027482
UNC5CL (222643)	0.097710641	0.17486585	0.255213222
DRAP1 (10589)	0.097713218	0.216838513	0.305884348
RPS6KA2 (6196)	0.097725704	0.493307249	0.591981068
RALYL (138046)	0.097749643	0.060405654	0.10316762
VEGFB (7423)	0.097763489	0.186577654	0.269715519
MFN2 (9927)	0.097776624	0.043097339	0.076935421
ZNF75A (7627)	0.097833356	0.255470463	0.350062741
LGALS4 (3960)	0.097884023	0.600404564	0.68905611
NPR3 (4883)	0.097885364	0.485777367	0.584924959
ZNF222 (7673)	0.097951652	0.13488334	0.20462847
SELENOV (348303)	0.098013388	0.02278877	0.044250757
CR1L (1379)	0.098049144	0.007307943	0.01630194
DCDC1 (341019)	0.098102422	0.024091443	0.04641306
CBWD5 (220869)	0.098243311	0.134019365	0.203479
AZIN1 (51582)	0.098272994	0.055726455	0.096136547
PNMA3 (29944)	0.098311202	0.129884682	0.198065345
TMEM102 (284114)	0.098315773	0.195929471	0.280943285
NIT1 (4817)	0.09838848	0.039165668	0.070774736
SSX2B (727837)	0.098462986	0.263002869	0.358592263
PSMB4 (5692)	0.098514154	0.048093309	0.084607452
C12orf54 (121273)	0.098522447	0.061256517	0.104369417
ABCC8 (6833)	0.098582422	0.26096708	0.356293951
EFCAB10 (100130771)	0.098605785	0.034564409	0.063542972
FCF1 (51077)	0.098642752	0.050836576	0.088797027
ANKRD7 (56311)	0.098687402	0.146062802	0.218916957
CDS2 (8760)	0.098816163	0.085218327	0.13826762
ZP1 (22917)	0.098881361	0.069384384	0.11612222
OLIG2 (10215)	0.098903149	0.076976613	0.126873894
TMC6 (11322)	0.098998262	0.579558101	0.670407694
VAX1 (11023)	0.099092778	0.111972766	0.174503959
SMCO2 (341346)	0.099094365	0.005432729	0.012518556
ZNF713 (349075)	0.09913732	0.109660325	0.171472455
SEC11A (23478)	0.099140176	0.063555844	0.107750007
BCL2L15 (440603)	0.099185427	0.361917173	0.462735749
BEX1 (55859)	0.099219912	0.679011093	0.756899288
MORN3 (283385)	0.099286737	0.071442516	0.119069412
RYR2 (6262)	0.099326892	0.154008937	0.2291046
SPATA6 (54558)	0.099392079	0.193907887	0.278482564
ORM1 (5004)	0.099409628	0.288887782	0.387016633
GINM1 (116254)	0.099599965	0.183060303	0.265123382
ELOC (6921)	0.099627403	0.03452552	0.063492464
RFX6 (222546)	0.099653777	0.016307714	0.033064485
BIRC2 (329)	0.099684352	0.212963653	0.301150552
CDHR3 (222256)	0.099844729	0.288920432	0.38703329
RGPD5 (84220)	0.099916025	0.337890137	0.438695746
CRNKL1 (51340)	0.099942634	0.026859946	0.051108916
TACR1 (6869)	0.099980143	0.041850968	0.074997185
PVALB (5816)	0.100074358	0.103722481	0.163536747
KCNA7 (3743)	0.100156425	9.52E-05	0.000334429
SCHIP1 (29970)	0.100156577	0.370805653	0.471725482
PPIL1 (51645)	0.100199458	0.037837959	0.068725796
ZNF780A (284323)	0.100201458	0.086109683	0.139524653
RNPEP (6051)	0.100227884	0.115214753	0.178886555
NWD1 (284434)	0.100246126	0.003861243	0.009286386
SLC6A3 (6531)	0.100295067	0.045267532	0.080300373
FGF18 (8817)	0.100331436	0.367933362	0.468844329
CLOCK (9575)	0.100352691	0.151691082	0.226236683
WDR93 (56964)	0.100399178	1.22E-06	6.33E-06
CDH23 (64072)	0.100408609	0.215806943	0.304743536
PIGH (5283)	0.100525754	0.103497342	0.163249
NKX2-2 (4821)	0.100845693	0.247842952	0.341812944
ADAMTS17 (170691)	0.100920568	0.284514131	0.382012801
PFDN6 (10471)	0.100994926	0.034537186	0.063503639
SH3GL1 (6455)	0.101079276	0.106022434	0.166477483
SRP54 (6729)	0.101102735	0.032157849	0.059671403
ASB4 (51666)	0.101124908	0.140545459	0.211758403
TRADD (8717)	0.101125287	0.105111489	0.16530472
ZBTB9 (221504)	0.101131993	0.032336116	0.059971384
C13orf46 (100507747)	0.101283884	0.043175016	0.077059715
SNX16 (64089)	0.101398837	0.099452907	0.157779602
MRPS18A (55168)	0.101447272	0.022684201	0.04409243
ERICH2 (285141)	0.101456785	0.130468841	0.198829445
HMCES (56941)	0.10155957	0.153553531	0.228498157
C11orf71 (54494)	0.101631841	0.163459942	0.2411031
RPS6KL1 (83694)	0.101814238	0.411542306	0.512193856
POTEI (653269)	0.101893159	0.002233471	0.005697971
DDIAS (220042)	0.101896942	0.143173076	0.215124823
ATP5S (27109)	0.10194698	0.049546107	0.086812253
CGRRF1 (10668)	0.101984044	0.055049334	0.095079795
NDUFA4 (4697)	0.101993741	0.070552558	0.117848195
GSDMD (79792)	0.102000314	0.46362983	0.563502601
RLN1 (6013)	0.102104175	0.002895215	0.007188846
MORN5 (254956)	0.102202624	0.000647291	0.00187328
TBL2 (26608)	0.102330535	0.043443326	0.077464273
TBC1D13 (54662)	0.102346944	0.036183974	0.066179993
CYP2C8 (1558)	0.102385401	0.002614305	0.006552533
KCNK3 (3777)	0.102430943	0.278746818	0.375877233
GUCA2B (2981)	0.102474799	0.015642887	0.031854848
EFCAB6 (64800)	0.102578578	0.002266152	0.005774421
PICALM (8301)	0.102641931	0.115699996	0.179523482
TTLL10 (254173)	0.102707125	0.004773446	0.01119065
ELMO2 (63916)	0.102769027	0.082637272	0.134707761
TAPBPL (55080)	0.102783732	0.281898896	0.37916349
UNC80 (285175)	0.102847129	0.116338303	0.180440774
FFAR2 (2867)	0.102946365	0.027905177	0.052799379
CBX3 (11335)	0.102955833	0.048457144	0.085145806
STOML1 (9399)	0.102982706	0.148752977	0.222322351
IDH3B (3420)	0.103003601	0.033370152	0.061628226
NAXD (55739)	0.103031249	0.127789076	0.195227362
SEZ6 (124925)	0.103057554	0.365676661	0.466856553
ENSA (2029)	0.103070707	0.081940249	0.133765168
PRR7 (80758)	0.103138946	0.189721475	0.273393144
CRISP3 (10321)	0.103163996	0.174359069	0.254726039
CNTD2 (79935)	0.103178226	0.174651228	0.254958298
GKN2 (200504)	0.103183123	0.048159514	0.084685013
GIPC2 (54810)	0.103314032	0.18947775	0.273124166
NF1 (4763)	0.103355467	0.090678163	0.145840775
OR51E2 (81285)	0.103434095	0.121030682	0.186449777
SPEF1 (25876)	0.103539059	0.000495576	0.001470672
ISM2 (145501)	0.103612352	0.050218053	0.087852911
MDH1B (130752)	0.103704388	0.060826759	0.103766483
HIVEP1 (3096)	0.103730255	0.12031899	0.185618716
DHX16 (8449)	0.103820913	0.014128113	0.029161034
KIF25 (3834)	0.103824591	0.003159748	0.00777809
PRODH2 (58510)	0.103900993	0.06140703	0.104571811
HRG (3273)	0.103937781	2.73E-05	0.000107547
TMEM159 (57146)	0.10402201	0.327401117	0.428126161
SNX6 (58533)	0.10406782	0.09597189	0.152954201
ULBP1 (80329)	0.104123356	0.232788114	0.324604534
CLUL1 (27098)	0.104183562	0.076103683	0.125629811
TCAP (8557)	0.104254893	0.081445842	0.133116982
SUB1 (10923)	0.104272286	0.114477856	0.177857822
NT5DC3 (51559)	0.104384355	0.163710651	0.241412602
SALL3 (27164)	0.104412209	0.035097616	0.064418226
WTIP (126374)	0.104547966	0.447282895	0.547311766
ZDHHC14 (79683)	0.104558069	0.20628684	0.293290402
DENND5B (160518)	0.104691368	0.246166168	0.339818656
TPRN (286262)	0.10473227	0.143154405	0.215122189
OGFRL1 (79627)	0.104734079	0.388932523	0.489974203
ATP11A (23250)	0.104812828	0.349046696	0.449885541
PACS1 (55690)	0.104817073	0.191815296	0.276036385
TEKT2 (27285)	0.104838967	0.092075843	0.147728791
COX5B (1329)	0.10488753	0.023742941	0.045822539
LEFTY1 (10637)	0.104891859	0.122074721	0.187771047
PSMB2 (5690)	0.104919057	0.021339214	0.041877797
ADGRD2 (347088)	0.104946362	0.001615211	0.004261545
UBE2Z (65264)	0.105092302	0.034370681	0.063250247
MYBPHL (343263)	0.10524144	0.013683407	0.028362402
DDX25 (29118)	0.105365562	0.166592507	0.245138121
LNX2 (222484)	0.10543441	0.067207704	0.113070067
TBXAS1 (6916)	0.105456455	0.390970449	0.491802239
CNPY2 (10330)	0.105484982	0.017954805	0.036014961
TDRD1 (56165)	0.105564728	0.093362907	0.149455597
WFDC5 (149708)	0.105591214	0.00046444	0.001387955
GGT1 (2678)	0.105598185	0.52904249	0.625107359
SPINK7 (84651)	0.105625604	0.101238494	0.160161122
FAM227A (646851)	0.105804335	0.063004246	0.106947444
PANX1 (24145)	0.105812661	0.118306174	0.18304804
C2CD2 (25966)	0.105945226	0.294989386	0.393730517
MDFIC (29969)	0.10603261	0.468445392	0.567877317
IARS2 (55699)	0.106045733	0.03422451	0.063011542
FPGT (8790)	0.106068612	0.06175022	0.105089005
WFIKKN1 (117166)	0.106073537	0.005250878	0.012147772
GPC5 (2262)	0.106249663	0.030008221	0.056216594
RAB7A (7879)	0.106253923	0.026125699	0.049850531
PNPLA5 (150379)	0.106280424	0.000238512	0.000762537
RRP36 (88745)	0.106324329	0.03641987	0.066503433
EMC1 (23065)	0.106340317	0.096746928	0.154086787
CFAP52 (146845)	0.106364475	2.45E-06	1.19E-05
MRPL3 (11222)	0.106418273	0.01677863	0.033893646
WFDC10B (280664)	0.106466484	2.29E-06	1.13E-05
ZSCAN9 (7746)	0.106498361	0.180170783	0.261718603
CA3 (761)	0.106515274	0.053363132	0.092610261
SCG5 (6447)	0.106580143	0.553457617	0.647536576
CLRN3 (119467)	0.106590565	0.348235241	0.449051291
TUBG1 (7283)	0.106617318	0.061548571	0.104792408
OCA2 (4948)	0.10667506	0.162470588	0.239939592
PUS7 (54517)	0.106679446	0.094749775	0.151283544
SLCO4C1 (353189)	0.106726255	0.100904737	0.159712302
EFNA3 (1944)	0.106747412	0.266766601	0.362866265
HPCAL4 (51440)	0.106790285	0.037415147	0.068087032
ZW10 (9183)	0.10681393	0.033005935	0.06102034
COMMD4 (54939)	0.106920095	0.037496424	0.068221968
LARP4 (113251)	0.10697252	0.040567963	0.073026148
PON1 (5444)	0.107268277	0.008373563	0.018374998
ZNF501 (115560)	0.107297066	0.142074901	0.213659223
P2RX2 (22953)	0.107436521	0.008955672	0.019462751
PRKAR1B (5575)	0.107584126	0.226993434	0.317843937
PCDH19 (57526)	0.107601401	0.121939898	0.187593813
OXCT2 (64064)	0.107786212	0.121968361	0.187622524
TUBD1 (51174)	0.107851885	0.061408081	0.104571811
CCDC30 (728621)	0.107899291	0.031012143	0.057803181
RORC (6097)	0.107938701	0.26928573	0.365539673
RELL2 (285613)	0.107992743	0.245026705	0.338563063
ALG10 (84920)	0.108009501	0.05921603	0.101380047
SMC4 (10051)	0.108075769	0.136577898	0.206920487
